Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",,B,"41,645","42,231","42,711","42,095","43,211","43,498",287,0.70%,19
Avenue H (Q),,B,"2,961","2,994","3,183","3,329","3,418","3,354",-64,-1.90%,356
Avenue I (F),21,B,"2,250","2,235","1,962","1,111","1,096","1,988",892,81.40%,402
Avenue J (Q),,B,"6,060","6,009","6,136","6,154","6,058","5,826",-232,-3.80%,260
Avenue M (Q),,B,"5,903","5,869","6,052","6,094","6,001","5,678",-323,-5.40%,264
Avenue N (F),23,B,"3,419","3,410","3,187","2,217","2,087","2,961",874,41.90%,372
Avenue P (F),25,B,"2,767","2,804","2,688","1,821","1,710","2,463",753,44.00%,391
Avenue U (F),27,B,"2,215","2,439","2,578","1,276","1,042","1,838",796,76.40%,404
Avenue U (N),29,B,"3,857","3,894","1,399","2,285","2,627","3,156",529,20.20%,368
Avenue U (Q),,B,"6,922","6,975","7,384","7,391","7,323","7,262",-61,-0.80%,210
Avenue X (F),31,B,"2,859","1,928","2,424","2,508","2,662","2,530",-132,-5.00%,386
Bay 50 St (D),,B,"2,875","2,872","3,176","2,926","2,674","2,662",-12,-0.40%,382
Bay Pkwy (D),,B,"7,322","7,501","8,069","7,837","7,719","7,723",4,0.10%,196
Bay Pkwy (F),33,B,"1,516","1,491","1,329",729,623,"1,193",570,91.40%,414
Bay Pkwy (N),,B,"7,301","7,164","10,955","9,328","7,261","6,565",-696,-9.60%,236
Bay Ridge Av (R),35,B,"8,283","8,379","8,415","4,173","7,236","7,677",441,6.10%,198
Bay Ridge-95 St (R),,B,"6,051","6,101","6,090","5,969","5,812","5,847",35,0.60%,259
Bedford Av (L),,B,"27,224","27,132","27,486","27,783","26,603","25,158","-1,445",-5.40%,47
Bedford-Nostrand Avs (G),,B,"7,778","8,197","8,487","8,741","8,821","8,866",45,0.50%,175
"Bergen St (2,3)",,B,"3,923","3,823","3,884","3,853","3,653","3,857",204,5.60%,334
"Bergen St (F,G)",,B,"11,570","11,548","11,529","11,306","11,174","11,310",136,1.20%,138
Beverley Rd (Q),36,B,"2,690","2,894","3,059","3,267","3,350","3,410",60,1.80%,353
"Beverly Rd (2,5)",,B,"4,447","4,457","4,464","4,384","4,255","4,277",22,0.50%,322
"Brighton Beach (B,Q)",,B,"12,498","12,794","13,035","12,587","12,065","11,841",-224,-1.90%,132
Broadway (G),,B,"3,500","4,011","4,340","4,452","4,467","4,639",172,3.80%,304
"Broadway Junction (A,C,J,L,Z)",,B,"9,149","9,251","9,189","8,681","8,142","7,813",-329,-4.00%,194
Bushwick Av-Aberdeen St (L),,B,"1,683","1,874","2,105","2,112","2,079","2,015",-64,-3.10%,400
Canarsie-Rockaway Pkwy (L),,B,"13,512","13,481","13,131","12,661","11,947","11,060",-887,-7.40%,146
"Carroll St (F,G)",,B,"11,744","11,923","11,848","11,723","11,562","11,814",252,2.20%,134
Central Av (M),37,B,"3,282","3,715","3,884","1,929","2,393","4,473","2,080",86.90%,311
"Chauncey St (J,Z)",,B,"3,050","3,200","3,360","3,408","3,387","3,246",-141,-4.20%,361
"Church Av (2,5)",,B,"9,852","9,864","9,808","9,512","9,193","9,556",363,3.90%,170
"Church Av (B,Q)",,B,"17,473","17,811","17,482","17,186","16,528","16,251",-277,-1.70%,89
"Church Av (F,G)",38,B,"9,954","10,490","10,151","9,697","9,492","9,395",-97,-1.00%,171
"Clark St (2,3)",,B,"6,083","5,922","5,903","5,635","5,275","5,590",315,6.00%,269
Classon Av (G),,B,"4,601","4,966","4,996","5,106","5,301","5,453",152,2.90%,275
Cleveland St (J),,B,"3,467","3,514","3,483","3,270","2,975","2,935",-40,-1.30%,373
Clinton-Washington Avs (C),,B,"6,719","6,603","6,932","7,130","7,068","7,139",71,1.00%,214
Clinton-Washington Avs (G),,B,"5,178","5,364","5,312","5,083","5,025","5,208",183,3.60%,281
"Coney Island-Stillwell Av (D,F,N,Q)",,B,"13,734","14,073","14,098","13,542","13,203","12,819",-384,-2.90%,122
Cortelyou Rd (Q),39,B,"5,727","6,220","6,332","6,348","6,276","6,319",43,0.70%,245
"Court St (R)/Borough Hall (2,3,4,5)",,B,"38,944","38,559","38,089","36,762","35,599","34,939",-660,-1.90%,27
"Crescent St (J,Z)",,B,"4,925","5,073","5,053","4,842","4,539","4,463",-76,-1.70%,313
"Crown Heights-Utica Av (3,4)",,B,"28,287","28,146","29,069","28,980","25,336","25,331",-5,0.00%,45
Cypress Hills (J),,B,"1,444","1,456","1,501","1,501","1,457","1,474",17,1.20%,412
"DeKalb Av (B,Q,R)",,B,"17,350","17,889","18,774","21,230","22,069","22,000",-69,-0.30%,59
DeKalb Av (L),,B,"11,943","12,158","12,307","13,050","12,638","11,214","-1,424",-11.30%,144
Ditmas Av (F),40,B,"4,622","3,386","3,524","3,849","3,904","3,947",43,1.10%,331
East 105 St (L),,B,"3,911","4,002","4,070","3,999","3,798","3,367",-431,-11.40%,355
"Eastern Pkwy-Brooklyn Museum (2,3)",42,B,"4,889","4,915","4,719","4,592","4,637","4,036",-601,-13.00%,328
"Euclid Av (A,C)",,B,"10,652","11,014","10,870","10,751","10,191","10,119",-72,-0.70%,159
"Flatbush Av-Brooklyn College (2,5)",,B,"21,865","21,666","21,268","20,691","19,763","19,572",-191,-1.00%,73
Flushing Av (G),,B,"2,627","2,819","2,857","2,866","2,949","2,466",-483,-16.40%,390
"Flushing Av (J,M)",,B,"9,258","9,483","9,347","8,952","8,336","8,623",287,3.40%,180
Fort Hamilton Pkwy (D),,B,"4,248","4,260","4,420","4,162","3,936","3,983",47,1.20%,330
"Fort Hamilton Pkwy (F,G)",,B,"5,650","5,783","6,044","5,893","5,807","5,877",70,1.20%,258
Fort Hamilton Pkwy (N),43,B,"7,244","6,964","1,771","3,196","3,232","4,468","1,236",38.30%,312
"Franklin Av (2,3,4,5)/Botanic Garden (S)",,B,"15,787","15,866","15,834","15,269","14,581","15,412",831,5.70%,95
"Franklin Av (C,S)",,B,"6,492","6,468","6,289","6,333","6,358","6,234",-124,-1.90%,246
Fulton St (G),,B,"4,502","4,954","5,096","5,364","5,462","5,416",-46,-0.80%,276
"Gates Av (J,Z)",,B,"6,277","6,521","6,602","7,110","7,255","7,095",-160,-2.20%,215
Graham Av (L),,B,"10,643","10,504","10,483","10,536","9,959","9,346",-613,-6.20%,172
"Grand Army Plaza (2,3)",,B,"7,971","7,731","7,735","7,452","7,188","7,349",161,2.20%,208
Grand St (L),,B,"7,824","7,307","6,977","7,317","6,964","6,409",-555,-8.00%,241
Grant Av (A),,B,"6,475","6,696","7,044","6,318","5,896","5,710",-186,-3.20%,263
Greenpoint Av (G),45,B,"7,819","9,191","9,413","9,648","9,509","10,006",497,5.20%,163
Halsey St (J),,B,"6,174","6,410","6,490","6,616","6,579","6,522",-57,-0.90%,237
