Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
Cypress Hills (J),,B,"1,517","1,503","1,447",973,725,833,108,14.90%,418
"DeKalb Av (B,Q,R)",,B,"16,016","15,096","15,729","21,434","21,357","20,429",-928,-4.30%,67
DeKalb Av (L),,B,"16,197","15,430","16,098","15,805","14,323","7,985","-6,338",-44.30%,198
Ditmas Av (F),40,B,"4,728","3,113","2,789","2,851","2,765","3,128",363,13.10%,351
East 105 St (L),,B,"3,679","3,041","2,961","3,393","3,151","2,636",-515,-16.30%,363
"Eastern Pkwy-Brooklyn Museum (2,3)",42,B,"7,835","7,943","7,107","6,810","6,813","5,823",-990,-14.50%,255
"Euclid Av (A,C)",,B,"11,016","12,954","12,563","12,594","10,629","12,250","1,621",15.30%,138
"Flatbush Av-Brooklyn College (2,5)",,B,"16,274","17,805","16,443","15,653","14,507","12,762","-1,745",-12.00%,130
Flushing Av (G),,B,"2,529","2,716","2,700","2,182","2,224","1,876",-348,-15.60%,394
"Flushing Av (J,M)",,B,"9,012","10,573","9,328","8,914","7,584","10,587","3,003",39.60%,157
Fort Hamilton Pkwy (D),,B,"4,258","3,832","4,002","3,884","3,405","3,474",69,2.00%,341
"Fort Hamilton Pkwy (F,G)",,B,"5,345","5,908","5,608","5,347","5,318","5,618",300,5.60%,263
Fort Hamilton Pkwy (N),43,B,"7,885","7,072","1,809","3,201","2,656","4,233","1,577",59.40%,315
"Franklin Av (2,3,4,5)/Botanic Garden (S)",,B,"24,479","19,326","17,730","16,077","16,339","19,857","3,518",21.50%,73
"Franklin Av (C,S)",,B,"8,633","8,996","8,274","8,229","7,939","7,148",-791,-10.00%,219
Fulton St (G),,B,"6,274","7,089","6,288","6,198","6,539","7,207",668,10.20%,217
"Gates Av (J,Z)",,B,"7,100","8,053","7,937","8,358","7,075","8,136","1,061",15.00%,193
Graham Av (L),,B,"12,774","11,396","11,996","11,572","10,247","6,099","-4,148",-40.50%,248
"Grand Army Plaza (2,3)",,B,"8,638","8,420","8,216","6,746","7,283","7,772",489,6.70%,202
Grand St (L),,B,"7,787","7,030","7,256","7,369","6,486","3,967","-2,519",-38.80%,323
Grant Av (A),,B,"7,169","6,901","6,795","6,290","6,255","5,392",-863,-13.80%,272
Greenpoint Av (G),45,B,"8,050","10,364","10,109","8,807","7,954","10,000","2,046",25.70%,166
Halsey St (J),,B,"7,284","8,262","8,150","8,226","7,019","8,440","1,421",20.20%,188
Halsey St (L),,B,"9,661","8,087","8,731","10,054","8,954","5,369","-3,585",-40.00%,274
"Hewes St (J,M)",,B,"3,222","4,042","3,291","3,048","3,399","5,198","1,799",52.90%,277
"High St (A,C)",,B,"11,042","8,840","5,437","11,529","15,473","14,503",-970,-6.30%,107
"Hoyt St (2,3)",,B,"6,708","7,043","7,619","3,666","4,054","7,233","3,179",78.40%,216
"Hoyt-Schermerhorn Sts (A,C,G)",,B,"9,182","9,961","10,339","11,877","12,707","13,731","1,024",8.10%,113
"Jay St-MetroTech (A,C,F,R)",,B,"30,650","31,485","33,452","34,871","32,427","31,155","-1,272",-3.90%,31
Jefferson St (L),,B,"10,724","10,807","11,286","10,753","10,271","7,300","-2,971",-28.90%,209
Junius St (3),46,B,"2,293","2,747","2,053",934,"1,644","2,027",383,23.30%,389
"Kings Hwy (B,Q)",,B,"15,539","17,206","16,302","17,673","16,697","16,648",-49,-0.30%,92
Kings Hwy (F),,B,"3,967","4,694","3,903","3,844","3,487","3,339",-148,-4.20%,344
